,PG,UNH,LLY,GOOGL,MA,HD,MSFT,AVGO,MRK,AMZN,JPM,AAPL,NVDA,JNJ,TSLA,KO,META,XOM,V,PEP,CVX,COST,BRK-B
PG,0.0005264323853850456,0.00029207394735372775,0.00020904448078863395,0.00022528117544576677,0.00031057922380407223,0.00032368819500528545,0.0002759196162851506,0.00026885462709547197,0.00021680653320139216,0.00017891934529945611,0.0002566350524157417,0.000307027157213892,0.00026275363626012695,0.0002707236641816971,0.0004000756228231735,0.00035124781742582495,0.00018247385198403708,0.00020317688563106548,0.00027685021576882824,0.00035139547991753595,0.0002566640728922383,0.00028309074817588204,0.00025033350977808307
UNH,0.00029207394735372775,0.0012193291207821693,0.0004262988885047608,0.00034034692572245556,0.0004753826918717824,0.0005466545830803047,0.00038343904494946913,0.0003745847601463499,0.0003316089802832515,0.00022952428216140282,0.000488670576418359,0.00040099958646514926,0.0004529476903814501,0.00036447009011139213,0.0005787213045348121,0.00039089034521795293,0.0002906835460519772,0.00039921063393985536,0.00039016333689883485,0.000381450684964884,0.0005428705301253667,0.0003180465797525904,0.00039780414846739623
LLY,0.00020904448078863395,0.0004262988885047608,0.001228504831050432,0.0002750328667388791,0.0003004011485109372,0.0003396460767363381,0.000344914428367766,0.00032892361056346297,0.0004454574666785404,0.00025027559924604184,0.000242080277693771,0.0002671324189182879,0.00042185307206311126,0.000360253119889186,0.00047914078835916633,0.00022748014598386493,0.0002595798146702372,0.0002877495512476237,0.0002820538824675806,0.00022317745133568732,0.00035665467684225545,0.00028284569213061036,0.00027377054068205864
GOOGL,0.00022528117544576677,0.00034034692572245556,0.0002750328667388791,0.0013227737159693506,0.0005803007663259257,0.00047900030952850877,0.0007079678516520166,0.0007298207590241393,0.0001372351694631941,0.0008495839222393826,0.000459517409758511,0.0006555955748069496,0.0009691574388019529,0.00021396034019252638,0.0009703357024471297,0.00030579284881161994,0.0008442139924203602,0.00032096854981119547,0.0005209036323766113,0.0002571326831245972,0.00039139317098091234,0.00037942097350188717,0.00033914185860411115
MA,0.00031057922380407223,0.0004753826918717824,0.0003004011485109372,0.0005803007663259257,0.0010754398884249945,0.0006106901440154917,0.0005588979094773392,0.0006563013427646383,0.00024789107951123313,0.0005807711063475613,0.0006207426824778358,0.0005847356366314372,0.0008250974787477023,0.00031531757333045713,0.0007513288553179897,0.0004421963994361871,0.0006854402613357509,0.00047360962332877726,0.0008450366422626118,0.00036212314804198937,0.0005512745782592117,0.0003794745724935688,0.00047246497960678124
HD,0.00032368819500528545,0.0005466545830803047,0.0003396460767363381,0.00047900030952850877,0.0006106901440154917,0.001152800153300925,0.0005031468265331538,0.0006526858880177444,0.00023891393472012408,0.0005105495556746188,0.0005878457676603884,0.0005314792652983235,0.0008641160336305509,0.0003136092059524569,0.0009188567773031635,0.0004023969249492828,0.0005042157210779459,0.0004054764755500893,0.0005258940873001603,0.0003938137715559036,0.0005370353491887504,0.0004725707659688035,0.00043506893813644964
MSFT,0.0002759196162851506,0.00038343904494946913,0.000344914428367766,0.0007079678516520166,0.0005588979094773392,0.0005031468265331538,0.0010238656639069935,0.0007130956191436988,0.00019690501615620359,0.0006989632505823093,0.0003940799945049194,0.000625050217750733,0.0010376011056017094,0.00023831031186502403,0.0009167476810607453,0.00031117219258701553,0.0006837215643153644,0.00023963339725237466,0.00048746463199258864,0.0003103714524610968,0.0003317348071411711,0.00039501812909489473,0.0003129423991091386
AVGO,0.00026885462709547197,0.0003745847601463499,0.00032892361056346297,0.0007298207590241393,0.0006563013427646383,0.0006526858880177444,0.0007130956191436988,0.002259463455592672,0.00021524978259473266,0.0007207691376790779,0.000566385287596125,0.0008526686753436836,0.0014917454645972333,0.00022262534639285318,0.0012458435917002172,0.0003573798009716002,0.0007226126872246216,0.0003852359478521735,0.000550364703823098,0.0002781087087615188,0.0004919160256225962,0.00045323772146885785,0.00039878651353899967
MRK,0.00021680653320139216,0.0003316089802832515,0.0004454574666785404,0.0001372351694631941,0.00024789107951123313,0.00023891393472012408,0.00019690501615620359,0.00021524978259473266,0.0007564573057120086,0.00011035209356402689,0.0002871580861994611,0.0001976326495130069,0.0001834493570816072,0.0003107415430751431,0.00023616874077784361,0.0002486401983186658,0.0001502997726551841,0.0002693365808126956,0.00022392837934226588,0.00022699654943325416,0.0003012975106714962,0.00019035025628393233,0.00027385498423175824
AMZN,0.00017891934529945611,0.00022952428216140282,0.00025027559924604184,0.0008495839222393826,0.0005807711063475613,0.0005105495556746188,0.0006989632505823093,0.0007207691376790779,0.00011035209356402689,0.0016721109193730303,0.00037910956231347273,0.0006369158993481162,0.0011476307734062166,0.00016548249734052513,0.0011384915088796293,0.00019613764556576264,0.0008619351250725597,0.0001845691309389725,0.0005357076875706526,0.00018742964652622882,0.00020783784189679116,0.0005082416268972423,0.00030287579634194196
JPM,0.0002566350524157417,0.000488670576418359,0.000242080277693771,0.000459517409758511,0.0006207426824778358,0.0005878457676603884,0.0003940799945049194,0.000566385287596125,0.0002871580861994611,0.00037910956231347273,0.0012178534855969625,0.0004167533774283272,0.0006776875094388748,0.000301968540015056,0.0007324392697695741,0.000381306002692917,0.00043172633685693954,0.0006460231268446366,0.0005467932743736933,0.00027913223593043873,0.0007014927230579401,0.00033868239537479544,0.0006313474658587972
AAPL,0.000307027157213892,0.00040099958646514926,0.0002671324189182879,0.0006555955748069496,0.0005847356366314372,0.0005314792652983235,0.000625050217750733,0.0008526686753436836,0.0001976326495130069,0.0006369158993481162,0.0004167533774283272,0.0013875106130430343,0.0010132577167795915,0.00023456438010897203,0.0011168347020990032,0.000325203250139632,0.0006305512634130335,0.00023346115506380833,0.0005041884052905939,0.00029292740863062105,0.0003479953074076912,0.00045905599982573445,0.00035458244150936036
NVDA,0.00026275363626012695,0.0004529476903814501,0.00042185307206311126,0.0009691574388019529,0.0008250974787477023,0.0008641160336305509,0.0010376011056017094,0.0014917454645972333,0.0001834493570816072,0.0011476307734062166,0.0006776875094388748,0.0010132577167795915,0.003282654102828326,0.00023646243195718256,0.0017116762760962816,0.0002911575380499532,0.0010224358376101003,0.0003778196016801155,0.000687888270816709,0.0002770904921342075,0.00047236368881083634,0.0006430109797628934,0.0004668329335785877
JNJ,0.0002707236641816971,0.00036447009011139213,0.000360253119889186,0.00021396034019252638,0.00031531757333045713,0.0003136092059524569,0.00023831031186502403,0.00022262534639285318,0.0003107415430751431,0.00016548249734052513,0.000301968540015056,0.00023456438010897203,0.00023646243195718256,0.0005019223599464541,0.00033996527195923385,0.0002881791788410683,0.00014331971266291985,0.0002708239684238793,0.00028829035627674467,0.0002844044017454271,0.0003349035719418739,0.00024144595989914055,0.0002895296284384423
TSLA,0.0004000756228231735,0.0005787213045348121,0.00047914078835916633,0.0009703357024471297,0.0007513288553179897,0.0009188567773031635,0.0009167476810607453,0.0012458435917002172,0.00023616874077784361,0.0011384915088796293,0.0007324392697695741,0.0011168347020990032,0.0017116762760962816,0.00033996527195923385,0.005975894503422302,0.00038736656654442546,0.0010671154082551885,0.00046908579874366425,0.0006648841283316884,0.00039850119748766625,0.0006322912873403002,0.0006785466880213655,0.00043589531021810153
KO,0.00035124781742582495,0.00039089034521795293,0.00022748014598386493,0.00030579284881161994,0.0004421963994361871,0.0004023969249492828,0.00031117219258701553,0.0003573798009716002,0.0002486401983186658,0.00019613764556576264,0.000381306002692917,0.000325203250139632,0.0002911575380499532,0.0002881791788410683,0.00038736656654442546,0.0006456333693122066,0.00019344451423979322,0.00035528771956332947,0.00037837355276103485,0.000434488295735982,0.0004298647401252498,0.00028648266154937833,0.00035658475480090885
META,0.00018247385198403708,0.0002906835460519772,0.0002595798146702372,0.0008442139924203602,0.0006854402613357509,0.0005042157210779459,0.0006837215643153644,0.0007226126872246216,0.0001502997726551841,0.0008619351250725597,0.00043172633685693954,0.0006305512634130335,0.0010224358376101003,0.00014331971266291985,0.0010671154082551885,0.00019344451423979322,0.0027101821258394545,0.0002014610202799645,0.0005383493626179755,0.0001743968010488658,0.00021342784625869425,0.0003365415857414333,0.0003016897188876806
XOM,0.00020317688563106548,0.00039921063393985536,0.0002877495512476237,0.00032096854981119547,0.00047360962332877726,0.0004054764755500893,0.00023963339725237466,0.0003852359478521735,0.0002693365808126956,0.0001845691309389725,0.0006460231268446366,0.00023346115506380833,0.0003778196016801155,0.0002708239684238793,0.00046908579874366425,0.00035528771956332947,0.0002014610202799645,0.0012523892629977313,0.00036755146602726634,0.00024959037700130154,0.0010789889175123733,0.0002041148246157378,0.000496595434404406
V,0.00027685021576882824,0.00039016333689883485,0.0002820538824675806,0.0005209036323766113,0.0008450366422626118,0.0005258940873001603,0.00048746463199258864,0.000550364703823098,0.00022392837934226588,0.0005357076875706526,0.0005467932743736933,0.0005041884052905939,0.000687888270816709,0.00028829035627674467,0.0006648841283316884,0.00037837355276103485,0.0005383493626179755,0.00036755146602726634,0.0008634670397330175,0.00031644621086492487,0.00042820803086817327,0.0003706439754027155,0.00041073452381015226
PEP,0.00035139547991753595,0.000381450684964884,0.00022317745133568732,0.0002571326831245972,0.00036212314804198937,0.0003938137715559036,0.0003103714524610968,0.0002781087087615188,0.00022699654943325416,0.00018742964652622882,0.00027913223593043873,0.00029292740863062105,0.0002770904921342075,0.0002844044017454271,0.00039850119748766625,0.000434488295735982,0.0001743968010488658,0.00024959037700130154,0.00031644621086492487,0.0005398301670485205,0.00032009464415456935,0.0002801581247385804,0.0002708498267791255
CVX,0.0002566640728922383,0.0005428705301253667,0.00035665467684225545,0.00039139317098091234,0.0005512745782592117,0.0005370353491887504,0.0003317348071411711,0.0004919160256225962,0.0003012975106714962,0.00020783784189679116,0.0007014927230579401,0.0003479953074076912,0.00047236368881083634,0.0003349035719418739,0.0006322912873403002,0.0004298647401252498,0.00021342784625869425,0.0010789889175123733,0.00042820803086817327,0.00032009464415456935,0.0013673202778463221,0.0002774027449531785,0.0005427947694009547
COST,0.00028309074817588204,0.0003180465797525904,0.00028284569213061036,0.00037942097350188717,0.0003794745724935688,0.0004725707659688035,0.00039501812909489473,0.00045323772146885785,0.00019035025628393233,0.0005082416268972423,0.00033868239537479544,0.00045905599982573445,0.0006430109797628934,0.00024144595989914055,0.0006785466880213655,0.00028648266154937833,0.0003365415857414333,0.0002041148246157378,0.0003706439754027155,0.0002801581247385804,0.0002774027449531785,0.0008035997312484839,0.000298995355258137
BRK-B,0.00025033350977808307,0.00039780414846739623,0.00027377054068205864,0.00033914185860411115,0.00047246497960678124,0.00043506893813644964,0.0003129423991091386,0.00039878651353899967,0.00027385498423175824,0.00030287579634194196,0.0006313474658587972,0.00035458244150936036,0.0004668329335785877,0.0002895296284384423,0.00043589531021810153,0.00035658475480090885,0.0003016897188876806,0.000496595434404406,0.00041073452381015226,0.0002708498267791255,0.0005427947694009547,0.000298995355258137,0.0006044243369118787
